Accuracy,Precision,Recall,F1 Score,AUC,Loss,TP,TN,FP,FN,ML_Model
0.685,0.7105263157894737,0.9440559440559441,0.8108108108108109,0.4230155809103178,7.457857163353123,135,2,55,8,NN
0.625,0.6702702702702703,0.8985507246376812,0.7678018575851393,0.40345956054230947,7.619109039575991,124,1,61,14,NN
0.67,0.6927083333333334,0.95,0.8012048192771084,0.46904761904761905,7.165947634975562,133,1,59,7,NN
0.63,0.6507936507936508,0.9389312977099237,0.76875,0.4457351476933289,8.530251080224428,123,3,66,8,NN
0.59,0.6203208556149733,0.9133858267716536,0.7388535031847133,0.45259411066767335,8.260041514620406,116,2,71,11,NN
0.695,0.7068062827225131,0.9642857142857143,0.8157099697885196,0.41250000000000003,7.5431461398997435,135,4,56,5,NN
0.67,0.6858638743455497,0.9562043795620438,0.7987804878048781,0.47306221758776507,7.432821709594305,131,3,60,6,NN
0.66,0.6804123711340206,0.9565217391304348,0.7951807228915663,0.4527816736792894,7.597864409453548,132,0,62,6,NN
0.68,0.7127659574468085,0.9305555555555556,0.8072289156626506,0.44146825396825395,6.395554733169799,134,2,54,10,NN
0.67,0.7074468085106383,0.9236111111111112,0.8012048192771084,0.37351190476190477,7.463167793863997,133,1,55,11,NN
0.73,0.7373737373737373,0.9864864864864865,0.8439306358381503,0.5159823284823286,5.774893579496515,146,0,52,2,NN
0.69,0.7112299465240641,0.9432624113475178,0.8109756097560976,0.5391272989542012,6.515111194654566,133,5,54,8,NN
0.665,0.7135135135135136,0.9041095890410958,0.797583081570997,0.48148148148148145,5.9648729813940715,132,1,53,14,NN
0.66,0.6861702127659575,0.9347826086956522,0.7914110429447853,0.5171224871435249,6.526022150186178,129,3,59,9,NN
0.71,0.7407407407407407,0.9395973154362416,0.8284023668639053,0.4557836557441769,5.845566047957118,140,2,49,9,NN
0.67,0.717391304347826,0.9041095890410958,0.8,0.41831557584982243,6.495377193495381,132,2,52,14,NN
0.68,0.703125,0.9507042253521126,0.8083832335329342,0.41397523069451186,7.641419116942091,135,1,57,7,NN
0.685,0.6938775510204082,0.9784172661870504,0.8119402985074626,0.4335416912371742,7.740932269432489,136,1,60,3,NN
0.605,0.7222222222222222,0.7272727272727273,0.7247386759581882,0.46239725187093605,4.742737110568543,104,17,40,39,NN
0.695,0.7287234042553191,0.9319727891156463,0.817910447761194,0.4337697343088178,6.341011393866718,137,2,51,10,NN
0.63,0.6613756613756614,0.9259259259259259,0.7716049382716049,0.4401139601139601,7.784679275694889,125,1,64,10,NN
0.69,0.7405405405405405,0.9072847682119205,0.8154761904761905,0.37917286119745913,6.7358833820311705,137,1,48,14,NN
0.665,0.7027027027027027,0.9154929577464789,0.7951070336391437,0.40432248664400194,7.705085317420728,130,3,55,12,NN
0.675,0.7037037037037037,0.9366197183098591,0.8036253776435045,0.4634531325886352,6.631001621559376,133,2,56,9,NN
0.665,0.6878306878306878,0.9420289855072463,0.7951070336391437,0.4973702664796634,7.340351580460299,130,3,59,8,NN
0.69,0.7258064516129032,0.9246575342465754,0.8132530120481928,0.40208016235413496,6.8353336828450555,135,3,51,11,NN
0.695,0.7336956521739131,0.9183673469387755,0.8157099697885196,0.5152098575279168,5.834611899767618,135,4,49,12,NN
0.67,0.7043010752688172,0.9225352112676056,0.7987804878048781,0.4227173385138417,6.582788499159456,131,3,55,11,NN
0.675,0.6927083333333334,0.9568345323741008,0.8036253776435045,0.42847033848331173,7.439231391951125,133,2,59,6,NN
0.665,0.6787564766839378,0.9632352941176471,0.7963525835866262,0.5689338235294118,6.612953380632491,131,2,62,5,NN
0.735,0.7616580310880829,0.9545454545454546,0.8472622478386167,0.3673066064370412,6.4587850726058855,147,0,46,7,NN
0.695,0.711340206185567,0.965034965034965,0.8189910979228486,0.4262667157403999,7.293337446348089,138,1,56,5,NN
0.685,0.7046632124352331,0.9577464788732394,0.8119402985074626,0.40310830500242834,7.607763377164154,136,1,57,6,NN
0.695,0.7061855670103093,0.9716312056737588,0.817910447761194,0.4541411227310976,7.057878733206289,137,2,57,4,NN
0.675,0.7112299465240641,0.9236111111111112,0.8036253776435045,0.4619295634920635,6.486470812951436,133,2,54,11,NN
0.64,0.6632124352331606,0.9481481481481482,0.7804878048780488,0.4547008547008547,8.218094068112604,128,0,65,7,NN
0.675,0.7158469945355191,0.9097222222222222,0.8012232415902141,0.39403521825396826,7.100816080956158,131,4,52,13,NN
0.705,0.7263157894736842,0.9517241379310345,0.8238805970149253,0.4317241379310345,6.793676309866831,138,3,52,7,NN
0.66,0.6842105263157895,0.9420289855072463,0.7926829268292683,0.452197288452548,7.6376866022143215,130,2,60,8,NN
0.57,0.6645569620253164,0.7608695652173914,0.7094594594594594,0.3520336605890603,6.568510032497186,105,9,53,33,NN
0.665,0.676923076923077,0.9705882352941176,0.797583081570997,0.45955882352941174,7.582158082489843,132,1,63,4,NN
0.665,0.6984126984126984,0.9295774647887324,0.797583081570997,0.5239800874210782,6.050001100994492,132,1,57,10,NN
0.665,0.7103825136612022,0.9027777777777778,0.7951070336391437,0.39186507936507936,7.056412107056478,130,3,53,14,NN
0.68,0.7010309278350515,0.9577464788732394,0.8095238095238095,0.4280597377367654,6.877744345220378,136,0,58,6,NN
0.625,0.656084656084656,0.9253731343283582,0.7678018575851393,0.4189846223428313,8.104924226051018,124,1,65,10,NN
0.655,0.6822916666666666,0.9424460431654677,0.7915407854984894,0.3805283641938908,8.66588352639255,131,0,61,8,NN
0.73,0.7444444444444445,0.9436619718309859,0.8322981366459627,0.7065322972316659,0.5469863972076099,134,12,46,8,RF
0.76,0.7540983606557377,0.9787234042553191,0.8518518518518519,0.8008775093160235,0.49446080963791644,138,14,45,3,RF
0.725,0.7262569832402235,0.9558823529411765,0.8253968253968254,0.7623506433823529,0.5367449692009317,130,15,49,6,RF
